MainTopic	Subgroup	Difficulty	Title	Slug	Source	Link
Dsa Fundamentals	Matrix Basics	Basic	Print a Matrix Row-Wise and Column-Wise		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Calculate the Total Sum of Elements in a Matrix		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Calculate the Sum of Each Row and Each Column in a Matrix		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Find the Maximum and Minimum Values in Each Row of a Matrix		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Find the Maximum and Minimum Values in Each Column of a Matrix		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Add and Subtract Two Matrices		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Print the Upper Triangle and Lower Triangle of a Matrix		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Print the Left and Right Diagonals of a Matrix		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Print the Boundary Elements of a Matrix		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Sort the Matrix Row-Wise and Column-Wise		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Print the Matrix in a Zig-Zag Pattern		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Check if a Matrix is Symmetric		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Check if a Matrix is an Identity Matrix		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Check if a Matrix is Sparse (Mostly Zeroes)		unknown	NA
Dsa Fundamentals	Matrix Basics	Basic	Find the Inverse of a Matrix		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Perform Basic Operations (Addition, Subtraction, Multiplication, Division) using Two Numbers		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Find the Sum of Digits of a Number		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Reverse a Given Number		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Check if a Number is a Palindrome		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Check if a Number is an Armstrong Number		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Count the Total Occurrences of the Digit '1' in All Positive Integers Less than or Equal to a Given Integer n		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Generate Fibonacci Numbers up to a Given Limit		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Calculate the Factorial of a Number		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Find the Number of Trailing Zeroes in the Factorial of a Given Number n		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Calculate the LCM and GCD of Two Numbers		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Check if a Number is Prime without using the Sieve of Eratosthenes		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Check if Two Numbers are Co-Prime		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Find All Divisors of a Given Number		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Perform Modulo Operations		unknown	NA
Dsa Fundamentals	Math Basics	Basic	Check Divisibility Rules for Numbers from 1 to 20		unknown	NA
Dsa Fundamentals	Recursion Basics	Theory	Introduction to Recursion		read.learnyard.com	https://read.learnyard.com/dsa/introduction-to-recursion/
Dsa Fundamentals	Recursion Basics	Theory	Getting a hang of Recursion		read.learnyard.com	https://read.learnyard.com/dsa/getting-a-hang-of-recursion/
Dsa Fundamentals	Recursion Basics	Theory	Some simple problems using Recursion		read.learnyard.com	https://read.learnyard.com/dsa/some-simple-problems-using-recursion/
Dsa Fundamentals	Recursion Basics	Theory	Fast Exponentiation		read.learnyard.com	https://read.learnyard.com/dsa/fast-exponentiation/
Dsa Fundamentals	Recursion Basics	Theory	Power of Three		read.learnyard.com	https://read.learnyard.com/dsa/power-of-three/
Dsa Fundamentals	Recursion Basics	Theory	Recursion: Time & Space Complexity Analysis - 1		read.learnyard.com	https://read.learnyard.com/dsa/recursion-time-and-space-complexity-analysis-1/
Dsa Fundamentals	Recursion Basics	Theory	Recursion: Time & Space Complexity Analysis - 2		read.learnyard.com	https://read.learnyard.com/dsa/recursion-time-and-space-complexity-analysis-2/
Dsa Fundamentals	Recursion Basics	Theory	Time Complexity Analysis using Recurrence Relations		read.learnyard.com	https://read.learnyard.com/dsa/time-complexity-analysis-using-recurrence-relations/
Dsa Fundamentals	Recursion Basics	Basic	Calculate the Sum of Numbers from 1 to N using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Print the Fibonacci Series up to N Terms using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Print the Elements of an Array using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Count the Digits of a Given Number using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Find the Sum of Digits of a Number using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Find the GCD of Two Numbers using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Find the Largest Element of an Array using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Reverse a String using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Find the Factorial of a Number using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Convert a Decimal Number to Binary using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Check if a Number is a Prime Number using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Print Even or Odd Numbers in a Given Range using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Multiply Two Matrices using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Check if a Given String is a Palindrome using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Copy One String to Another using Recursion		unknown	NA
Dsa Fundamentals	Recursion Basics	Basic	Check if an Array is Sorted using Recursion		unknown	NA
Programming Fundamentals	C++ Fundamentals	Theory	Introduction to C++ Programming		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/what-is-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Literals		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/literals-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Comments		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/comments-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Variables		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/variables-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	DataTypes in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/data-types-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Print Output		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/print-output-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Arithmetic Operators | Operators in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/operators-in-cpp-part-1/
Programming Fundamentals	C++ Fundamentals	Theory	Relational Operators | Operators in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/operators-in-cpp-part-2/
Programming Fundamentals	C++ Fundamentals	Theory	Logical Operators | Operators in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/booleans-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Conditional Statement in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/if-else-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	If-Else Statement | Conditional Statement in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/else-if-ladder-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	While Loop | Loop in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/while-loop-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	For Loop | Loop in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/for-loop-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Factorial and Fibonacci Series		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/loops-standard-problems-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Break & Continue | Jumping Statements in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/break-and-continue-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Switch Statement | Conditional Statement in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/switch-statement-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/functions-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Functions Arguments		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/function-arguments-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Return Statement		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/return-statement-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Local Variable		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/local-variable-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Why Do We Use Arguments and Return Type in a Function?		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/why-do-we-use-arguments-and-return-type-in-a-function-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Standard Library Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/standard-library-functions-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Nested Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/nested-functions-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Arrays in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/arrays-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Iterating and Updating Arrays		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/iterating-and-updating-arrays-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Taking Input in Arrays		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/taking-input-in-arrays-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Arrays Memory Allocation		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/arrays-memory-allocation-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Caveats in C++ Arrays		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/caveats-in-cpp-arrays/
Programming Fundamentals	C++ Fundamentals	Theory	Quiz: Arrays Theory		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/quiz-arrays-theory-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Ranged For Loops		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/ranged-for-loop-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Arrays and Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/arrays-and-functions-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Passing Array in Functions		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/passing-array-in-functions-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Vector Basics		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/vectors-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Vector Implementation - 1		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/vector-implementation-1-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Vector Implementation - 2		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/vector-implementation-2-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Quiz: Vectors		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/quiz-vectors-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Multi-dimensional arrays in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/multi-dimensional-arrays-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Strings in C++		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/strings-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Taking Input in Strings		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/taking-input-in-strings-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	String vs Arrays		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/string-vs-arrays-in-cpp/
Programming Fundamentals	C++ Fundamentals	Theory	Basic Functions of String		read.learnyard.com	https://read.learnyard.com/cpp-fundamentals/basic-functions-of-string-cpp/
Programming Fundamentals	Java Fundamentals	Theory	What is Java?		read.learnyard.com	https://read.learnyard.com/java-fundamentals/what-is-java/
Programming Fundamentals	Java Fundamentals	Theory	Features of Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/features-of-java/
Programming Fundamentals	Java Fundamentals	Theory	Java vs C++		read.learnyard.com	https://read.learnyard.com/java-fundamentals/java-vs-cpp/
Programming Fundamentals	Java Fundamentals	Theory	JVM, JRE, and JDK		read.learnyard.com	https://read.learnyard.com/java-fundamentals/jvm-jre-jdk/
Programming Fundamentals	Java Fundamentals	Theory	First Program in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/first-program-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Comments and Statements		read.learnyard.com	https://read.learnyard.com/java-fundamentals/comments-and-statements-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Literals in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/literals-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Variables in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/variables-in-java/
Programming Fundamentals	Java Fundamentals	Theory	How to Print in Java?		read.learnyard.com	https://read.learnyard.com/java-fundamentals/how-to-print-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Data Types in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/datatypes-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Operators in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/operators-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Arithmetic Operators in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arithmetic-operators-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Multiple Operators in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/multiple-operators-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Type Conversion in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/type-conversion-in-java/
Programming Fundamentals	Java Fundamentals	Theory	User Input in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/user-input-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Making Logical Decisions in Programming: Comparing Values and Variables		read.learnyard.com	https://read.learnyard.com/java-fundamentals/making-logical-decisions-in-programming-comparing-values-and-variables-java/
Programming Fundamentals	Java Fundamentals	Theory	If-Else Statement in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/if-else-statement-in-java/
Programming Fundamentals	Java Fundamentals	Theory	While Loop in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/while-loop-in-java/
Programming Fundamentals	Java Fundamentals	Theory	For Loop in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/for-loop-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Do-While Loop		read.learnyard.com	https://read.learnyard.com/java-fundamentals/do-while-loop-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Standard Practice Problems in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/standard-practice-problems-java/
Programming Fundamentals	Java Fundamentals	Theory	Break and Continue in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/break-and-continue-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Switch Statement in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/switch-statement-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Arrays in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arrays-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Types of Array in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/types-of-array-in-java//
Programming Fundamentals	Java Fundamentals	Theory	Iterating Through Arrays		read.learnyard.com	https://read.learnyard.com/java-fundamentals/iterating-through-arrays-java/
Programming Fundamentals	Java Fundamentals	Theory	Arrays: Practice Problems I		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arrays-practice-problems-i-java/
Programming Fundamentals	Java Fundamentals	Theory	Arrays: Practice Problems II		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arrays-practice-problems-ii-java/
Programming Fundamentals	Java Fundamentals	Theory	Arrays: Practice Problems III		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arrays-practice-problems-iii-java/
Programming Fundamentals	Java Fundamentals	Theory	Arrays: Practice Problems IV		read.learnyard.com	https://read.learnyard.com/java-fundamentals/arrays-practice-problems-iv-java/
Programming Fundamentals	Java Fundamentals	Theory	Methods in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/methods-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Method Arguments in Java		read.learnyard.com	https://read.learnyard.com/java-fundamentals/method-arguments-in-java/
Programming Fundamentals	Java Fundamentals	Theory	Why Do We Use Arguments and Return Type in a Method?		read.learnyard.com	https://read.learnyard.com/java-fundamentals/why-do-we-use-arguments-and-return-type-in-a-method-java/
Programming Fundamentals	Java Fundamentals	Theory	Standard Library Methods		read.learnyard.com	https://read.learnyard.com/java-fundamentals/standard-library-methods-java/
Programming Fundamentals	Java Fundamentals	Theory	Local Variables in a Method		read.learnyard.com	https://read.learnyard.com/java-fundamentals/local-variables-in-a-method-java/
Sorting	Bubble Sort	Theory	Bubble Sort		unknown	NA
Sorting	Insertion Sort	Theory	Insertion Sort Algorithm		unknown	NA
Sorting	Insertion Sort	Medium	Insertion Sort List 	insertion-sort-list	leetcode	https://leetcode.com/problems/insertion-sort-list/description/
Sorting	Selection Sort	Theory	Selection Sort Algorithm		unknown	NA
Sorting	Merge Sort	Theory	Merge Sort		unknown	NA
Sorting	Merge Sort	Medium	Count Inversions		gfg	https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1
Sorting	Merge Sort	Hard	Count of Smaller Numbers After Self	count-of-smaller-numbers-after-self	leetcode	https://leetcode.com/problems/count-of-smaller-numbers-after-self/description/
Sorting	Merge Sort	Hard	Count of Range Sum	count-of-range-sum	leetcode	https://leetcode.com/problems/count-of-range-sum
Sorting	Merge Sort	Hard	Reverse Pairs	reverse-pairs	leetcode	https://leetcode.com/problems/reverse-pairs
Sorting	Merge Sort	Hard	Create Sorted Array through Instructions	create-sorted-array-through-instructions	leetcode	https://leetcode.com/problems/create-sorted-array-through-instructions/description/
Sorting	Merge Sort	Hard	Count Good Triplets in an Array	count-good-triplets-in-an-array	leetcode	https://leetcode.com/problems/count-good-triplets-in-an-array/description/
Sorting	Merge Sort	Hard	Number of Pairs Satisfying Inequality	number-of-pairs-satisfying-inequality	leetcode	https://leetcode.com/problems/number-of-pairs-satisfying-inequality/description/
Sorting	Quick Sort	Theory	Quick Sort		unknown	NA
Sorting	Quick Sort	Medium	Sort an Array	sort-an-array	leetcode	https://leetcode.com/problems/sort-an-array/description/
Sorting	Counting Sort	Theory	Counting Sort		unknown	NA
Sorting	Counting Sort	Medium	Relative Sort Array	relative-sort-array	leetcode	https://leetcode.com/problems/relative-sort-array/description/
Sorting	Counting Sort	Medium	Reduce Array Size to The Half	reduce-array-size-to-the-half	leetcode	https://leetcode.com/problems/reduce-array-size-to-the-half/description/
Sorting	Counting Sort	Medium	Maximum Ice Cream Bars	maximum-ice-cream-bars	leetcode	https://leetcode.com/problems/maximum-ice-cream-bars/
Sorting	Radix Sort	Theory	Radix Sort		unknown	NA
Sorting	Bucket Sort	Theory	Bucket Sort		unknown	NA
Sorting	Bucket Sort	Medium	Top K Frequent Elements	top-k-frequent-elements	leetcode	https://leetcode.com/problems/top-k-frequent-elements/description/
Sorting	Bucket Sort	Medium	Sort Characters By Frequency	sort-characters-by-frequency	leetcode	https://leetcode.com/problems/sort-characters-by-frequency/description/
Sorting	Bucket Sort	Medium	Maximum Gap	maximum-gap	leetcode	https://leetcode.com/problems/maximum-gap/
Sorting	Bucket Sort	Medium	Top K Frequent Words	top-k-frequent-words	leetcode	https://leetcode.com/problems/top-k-frequent-words/description/
Sorting	Bucket Sort	Hard	Contains Duplicate III	contains-duplicate-iii	leetcode	https://leetcode.com/problems/contains-duplicate-iii/description/
Sorting	Cyclic Sort	Easy	Missing Number	missing-number	leetcode	https://leetcode.com/problems/missing-number/description/
Sorting	Cyclic Sort	Medium	Find the Duplicate Number	find-the-duplicate-number	leetcode	https://leetcode.com/problems/find-the-duplicate-number/
Sorting	Cyclic Sort	Hard	First Missing Positive	first-missing-positive	leetcode	https://leetcode.com/problems/first-missing-positive
Sorting	Custom Sort	Theory	Comparator Sort		unknown	NA
Sorting	Custom Sort	Medium	Custom Sort String	custom-sort-string	leetcode	https://leetcode.com/problems/custom-sort-string/
Sorting	Custom Sort	Medium	Largest Number	largest-number	leetcode	https://leetcode.com/problems/largest-number/
Sorting	Custom Sort	Medium	Sort the Jumbled Numbers	sort-the-jumbled-numbers	leetcode	https://leetcode.com/problems/sort-the-jumbled-numbers/
Sorting	Custom Sort	Medium	Rank Teams by Votes	rank-teams-by-votes	leetcode	https://leetcode.com/problems/rank-teams-by-votes/description/
2 Pointers	Two Pointer on Arrays	Easy	Merge Two 2D Arrays by Summing Values	merge-two-2d-arrays-by-summing-values	leetcode	https://leetcode.com/problems/merge-two-2d-arrays-by-summing-values
2 Pointers	Two Pointer on Arrays	Easy	Merge Sorted Array	merge-sorted-array	leetcode	https://leetcode.com/problems/merge-sorted-array/description/
2 Pointers	Two Pointer on Arrays	Easy	Sort Array by Parity	sort-array-by-parity	leetcode	https://leetcode.com/problems/sort-array-by-parity/description/
