Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
maximize-points-after-choosing-k-tasks	3767	Maximize Points After Choosing K Tasks	direct	Greedy|Array|Sorting|Heap (Priority Queue)	Greedy + Sorting	3767_maximize-points-after-choosing-k-tasks.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3767.Maximize%20Points%20After%20Choosing%20K%20Tasks/README_EN.md
number-of-adjacent-elements-with-the-same-color	2672	Number of Adjacent Elements With the Same Color	direct	Array	<!-- tabs:start -->	2672_number-of-adjacent-elements-with-the-same-color.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2600-2699/2672.Number%20of%20Adjacent%20Elements%20With%20the%20Same%20Color/README_EN.md
find-the-number-of-ways-to-place-people-i	3025	Find the Number of Ways to Place People I	direct	Geometry|Array|Math|Enumeration|Sorting	Sorting and Classification	3025_find-the-number-of-ways-to-place-people-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3025.Find%20the%20Number%20of%20Ways%20to%20Place%20People%20I/README_EN.md
ambiguous-coordinates	816	Ambiguous Coordinates	direct	String|Backtracking|Enumeration	<!-- tabs:start -->	0816_ambiguous-coordinates.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0816.Ambiguous%20Coordinates/README_EN.md
circle-and-rectangle-overlapping	1401	Circle and Rectangle Overlapping	direct	Geometry|Math	Mathematics	1401_circle-and-rectangle-overlapping.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1401.Circle%20and%20Rectangle%20Overlapping/README_EN.md
solving-questions-with-brainpower	2140	Solving Questions With Brainpower	direct	Array|Dynamic Programming	Memoization|Dynamic Programming	2140_solving-questions-with-brainpower.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2140.Solving%20Questions%20With%20Brainpower/README_EN.md
count-unguarded-cells-in-the-grid	2257	Count Unguarded Cells in the Grid	direct	Array|Matrix|Simulation	Simulation	2257_count-unguarded-cells-in-the-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2257.Count%20Unguarded%20Cells%20in%20the%20Grid/README_EN.md
minimum-number-of-coins-for-fruits	2944	Minimum Number of Coins for Fruits	direct	Queue|Array|Dynamic Programming|Monotonic Queue|Heap (Priority Queue)	Memoization Search|Dynamic Programming|Dynamic Programming + Monotonic Queue Optimization	2944_minimum-number-of-coins-for-fruits.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2944.Minimum%20Number%20of%20Coins%20for%20Fruits/README_EN.md
maximum-number-of-operations-with-the-same-score-ii	3040	Maximum Number of Operations With the Same Score II	direct	Memoization|Array|Dynamic Programming	Memorization Search	3040_maximum-number-of-operations-with-the-same-score-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3040.Maximum%20Number%20of%20Operations%20With%20the%20Same%20Score%20II/README_EN.md
most-profit-assigning-work	826	Most Profit Assigning Work	direct	Greedy|Array|Two Pointers|Binary Search|Sorting	Sorting + Two Pointers|Dynamic Programming	0826_most-profit-assigning-work.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0826.Most%20Profit%20Assigning%20Work/README_EN.md
online-stock-span	901	Online Stock Span	direct	Stack|Design|Data Stream|Monotonic Stack	Monotonic Stack	0901_online-stock-span.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0901.Online%20Stock%20Span/README_EN.md
distribute-coins-in-binary-tree	979	Distribute Coins in Binary Tree	direct	Tree|Depth-First Search|Binary Tree	DFS	0979_distribute-coins-in-binary-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0979.Distribute%20Coins%20in%20Binary%20Tree/README_EN.md
parallel-courses	1136	Parallel Courses	direct	Graph|Topological Sort	Topological Sorting	1136_parallel-courses.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1136.Parallel%20Courses/README_EN.md
maximum-length-of-subarray-with-positive-product	1567	Maximum Length of Subarray With Positive Product	direct	Greedy|Array|Dynamic Programming	Dynamic Programming|Dynamic Programming (Space Optimization)	1567_maximum-length-of-subarray-with-positive-product.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1567.Maximum%20Length%20of%20Subarray%20With%20Positive%20Product/README_EN.md
employee-free-time	759	Employee Free Time	direct	Array|Sorting|Sweep Line|Heap (Priority Queue)	Interval Merging	0759_employee-free-time.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0759.Employee%20Free%20Time/README_EN.md
number-of-orders-in-the-backlog	1801	Number of Orders in the Backlog	direct	Array|Simulation|Heap (Priority Queue)	Priority Queue (Max-Min Heap) + Simulation	1801_number-of-orders-in-the-backlog.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1801.Number%20of%20Orders%20in%20the%20Backlog/README_EN.md
amount-of-time-for-binary-tree-to-be-infected	2385	Amount of Time for Binary Tree to Be Infected	direct	Tree|Depth-First Search|Breadth-First Search|Hash Table|Binary Tree	Two DFS	2385_amount-of-time-for-binary-tree-to-be-infected.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2385.Amount%20of%20Time%20for%20Binary%20Tree%20to%20Be%20Infected/README_EN.md
remove-methods-from-project	3310	Remove Methods From Project	direct	Depth-First Search|Breadth-First Search|Graph	Two DFS	3310_remove-methods-from-project.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3310.Remove%20Methods%20From%20Project/README_EN.md
3sum-with-multiplicity	923	3Sum With Multiplicity	direct	Array|Hash Table|Two Pointers|Counting|Sorting	Counting + Enumeration	0923_3sum-with-multiplicity.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0923.3Sum%20With%20Multiplicity/README_EN.md
flower-planting-with-no-adjacent	1042	Flower Planting With No Adjacent	direct	Depth-First Search|Breadth-First Search|Graph	Enumeration	1042_flower-planting-with-no-adjacent.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1042.Flower%20Planting%20With%20No%20Adjacent/README_EN.md
longest-zigzag-path-in-a-binary-tree	1372	Longest ZigZag Path in a Binary Tree	direct	Tree|Depth-First Search|Dynamic Programming|Binary Tree	<!-- tabs:start -->	1372_longest-zigzag-path-in-a-binary-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1372.Longest%20ZigZag%20Path%20in%20a%20Binary%20Tree/README_EN.md
divide-intervals-into-minimum-number-of-groups	2406	Divide Intervals Into Minimum Number of Groups	direct	Greedy|Array|Two Pointers|Prefix Sum|Sorting|Heap (Priority Queue)	Greedy + Priority Queue (Min Heap)	2406_divide-intervals-into-minimum-number-of-groups.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2406.Divide%20Intervals%20Into%20Minimum%20Number%20of%20Groups/README_EN.md
sum-of-beauty-of-all-substrings	1781	Sum of Beauty of All Substrings	direct	Hash Table|String|Counting	Enumeration + Counting|<!-- tabs:start -->	1781_sum-of-beauty-of-all-substrings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1781.Sum%20of%20Beauty%20of%20All%20Substrings/README_EN.md
find-closest-node-to-given-two-nodes	2359	Find Closest Node to Given Two Nodes	direct	Depth-First Search|Graph	BFS + Enumerate Common Nodes	2359_find-closest-node-to-given-two-nodes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2359.Find%20Closest%20Node%20to%20Given%20Two%20Nodes/README_EN.md
construct-the-minimum-bitwise-array-ii	3315	Construct the Minimum Bitwise Array II	direct	Bit Manipulation|Array	Bit Manipulation	3315_construct-the-minimum-bitwise-array-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3315.Construct%20the%20Minimum%20Bitwise%20Array%20II/README_EN.md
number-of-perfect-pairs	3649	Number of Perfect Pairs	direct		<!-- tabs:start -->	3649_number-of-perfect-pairs.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3649.Number%20of%20Perfect%20Pairs/README_EN.md
maximize-the-topmost-element-after-k-moves	2202	Maximize the Topmost Element After K Moves	direct	Greedy|Array	<!-- tabs:start -->	2202_maximize-the-topmost-element-after-k-moves.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2202.Maximize%20the%20Topmost%20Element%20After%20K%20Moves/README_EN.md
grid-game	2017	Grid Game	direct	Array|Matrix|Prefix Sum	Prefix Sum	2017_grid-game.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2017.Grid%20Game/README_EN.md
maximum-rows-covered-by-columns	2397	Maximum Rows Covered by Columns	direct	Bit Manipulation|Array|Backtracking|Enumeration|Matrix	Binary Enumeration	2397_maximum-rows-covered-by-columns.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2397.Maximum%20Rows%20Covered%20by%20Columns/README_EN.md
maximum-length-of-a-concatenated-string-with-unique-characters	1239	Maximum Length of a Concatenated String with Unique Characters	direct	Bit Manipulation|Array|String|Backtracking	State Compression + Bit Manipulation	1239_maximum-length-of-a-concatenated-string-with-unique-characters.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1239.Maximum%20Length%20of%20a%20Concatenated%20String%20with%20Unique%20Characters/README_EN.md
find-maximum-number-of-non-intersecting-substrings	3557	Find Maximum Number of Non Intersecting Substrings	direct	Greedy|Hash Table|String|Dynamic Programming	<!-- tabs:start -->	3557_find-maximum-number-of-non-intersecting-substrings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3557.Find%20Maximum%20Number%20of%20Non%20Intersecting%20Substrings/README_EN.md
count-the-number-of-fair-pairs	2563	Count the Number of Fair Pairs	direct	Array|Two Pointers|Binary Search|Sorting	Sorting + Binary Search	2563_count-the-number-of-fair-pairs.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2563.Count%20the%20Number%20of%20Fair%20Pairs/README_EN.md
sorting-three-groups	2826	Sorting Three Groups	direct	Array|Binary Search|Dynamic Programming	Dynamic Programming	2826_sorting-three-groups.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2800-2899/2826.Sorting%20Three%20Groups/README_EN.md
find-minimum-time-to-reach-last-room-i	3341	Find Minimum Time to Reach Last Room I	direct	Graph|Array|Matrix|Shortest Path|Heap (Priority Queue)	Dijkstra's Algorithm	3341_find-minimum-time-to-reach-last-room-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3341.Find%20Minimum%20Time%20to%20Reach%20Last%20Room%20I/README_EN.md
minimum-knight-moves	1197	Minimum Knight Moves	direct	Breadth-First Search	BFS|<!-- tabs:start -->	1197_minimum-knight-moves.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1197.Minimum%20Knight%20Moves/README_EN.md
alternating-groups-ii	3208	Alternating Groups II	direct	Array|Sliding Window	Single Pass	3208_alternating-groups-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3208.Alternating%20Groups%20II/README_EN.md
count-all-valid-pickup-and-delivery-options	1359	Count All Valid Pickup and Delivery Options	direct	Math|Dynamic Programming|Combinatorics	Dynamic Programming	1359_count-all-valid-pickup-and-delivery-options.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1359.Count%20All%20Valid%20Pickup%20and%20Delivery%20Options/README_EN.md
most-beautiful-item-for-each-query	2070	Most Beautiful Item for Each Query	direct	Array|Binary Search|Sorting	Sorting + Offline Query|Sorting + Binary Search	2070_most-beautiful-item-for-each-query.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2070.Most%20Beautiful%20Item%20for%20Each%20Query/README_EN.md
k-divisible-elements-subarrays	2261	K Divisible Elements Subarrays	direct	Trie|Array|Hash Table|Enumeration|Hash Function|Rolling Hash	Enumeration + String Hashing|<!-- tabs:start -->	2261_k-divisible-elements-subarrays.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2261.K%20Divisible%20Elements%20Subarrays/README_EN.md
capacity-to-ship-packages-within-d-days	1011	Capacity To Ship Packages Within D Days	direct	Array|Binary Search	<!-- tabs:start -->	1011_capacity-to-ship-packages-within-d-days.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1011.Capacity%20To%20Ship%20Packages%20Within%20D%20Days/README_EN.md
sum-of-prefix-scores-of-strings	2416	Sum of Prefix Scores of Strings	direct	Trie|Array|String|Counting	Prefix Tree	2416_sum-of-prefix-scores-of-strings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2416.Sum%20of%20Prefix%20Scores%20of%20Strings/README_EN.md
pythagorean-distance-nodes-in-a-tree	3820	Pythagorean Distance Nodes in a Tree	direct	Tree|Breadth-First Search	BFS + Enumeration	3820_pythagorean-distance-nodes-in-a-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3820.Pythagorean%20Distance%20Nodes%20in%20a%20Tree/README_EN.md
reschedule-meetings-for-maximum-free-time-i	3439	Reschedule Meetings for Maximum Free Time I	direct	Greedy|Array|Sliding Window	Sliding Window|Sliding Window (Space Optimization)	3439_reschedule-meetings-for-maximum-free-time-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3439.Reschedule%20Meetings%20for%20Maximum%20Free%20Time%20I/README_EN.md
maximize-active-section-with-trade-i	3499	Maximize Active Section with Trade I	direct	String|Enumeration	Greedy + Two Pointers	3499_maximize-active-section-with-trade-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3499.Maximize%20Active%20Section%20with%20Trade%20I/README_EN.md
best-sightseeing-pair	1014	Best Sightseeing Pair	direct	Array|Dynamic Programming	Enumeration	1014_best-sightseeing-pair.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1014.Best%20Sightseeing%20Pair/README_EN.md
count-vowels-permutation	1220	Count Vowels Permutation	direct	Dynamic Programming	Dynamic Programming|Matrix Exponentiation to Accelerate Recursion	1220_count-vowels-permutation.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1220.Count%20Vowels%20Permutation/README_EN.md
assign-elements-to-groups-with-constraints	3447	Assign Elements to Groups with Constraints	direct	Array|Hash Table	Enumeration	3447_assign-elements-to-groups-with-constraints.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3447.Assign%20Elements%20to%20Groups%20with%20Constraints/README_EN.md
construct-binary-tree-from-preorder-and-postorder-traversal	889	Construct Binary Tree from Preorder and Postorder Traversal	direct	Tree|Array|Hash Table|Divide and Conquer|Binary Tree	Recursion|Another Recursive Approach	0889_construct-binary-tree-from-preorder-and-postorder-traversal.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0889.Construct%20Binary%20Tree%20from%20Preorder%20and%20Postorder%20Traversal/README_EN.md
delete-tree-nodes	1273	Delete Tree Nodes	direct	Tree|Depth-First Search|Breadth-First Search|Array	DFS	1273_delete-tree-nodes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1273.Delete%20Tree%20Nodes/README_EN.md
visit-array-positions-to-maximize-score	2786	Visit Array Positions to Maximize Score	direct	Array|Dynamic Programming	Dynamic Programming	2786_visit-array-positions-to-maximize-score.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2786.Visit%20Array%20Positions%20to%20Maximize%20Score/README_EN.md
next-greater-numerically-balanced-number	2048	Next Greater Numerically Balanced Number	direct	Hash Table|Math|Backtracking|Counting|Enumeration	Enumeration	2048_next-greater-numerically-balanced-number.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2048.Next%20Greater%20Numerically%20Balanced%20Number/README_EN.md
maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold	1292	Maximum Side Length of a Square with Sum Less than or Equal to Threshold	direct	Array|Binary Search|Matrix|Prefix Sum	2D Prefix Sum + Binary Search	1292_maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1292.Maximum%20Side%20Length%20of%20a%20Square%20with%20Sum%20Less%20than%20or%20Equal%20to%20Threshold/README_EN.md
separate-squares-i	3453	Separate Squares I	direct	Array|Binary Search	Binary Search	3453_separate-squares-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3453.Separate%20Squares%20I/README_EN.md
extra-characters-in-a-string	2707	Extra Characters in a String	direct	Trie|Array|Hash Table|String|Dynamic Programming	Hash Table + Dynamic Programming|Trie + Dynamic Programming	2707_extra-characters-in-a-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2707.Extra%20Characters%20in%20a%20String/README_EN.md
most-frequent-prime	3044	Most Frequent Prime	direct	Array|Hash Table|Math|Counting|Enumeration|Matrix|Number Theory	Hash Table + Enumeration	3044_most-frequent-prime.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3044.Most%20Frequent%20Prime/README_EN.md
count-nice-pairs-in-an-array	1814	Count Nice Pairs in an Array	direct	Array|Hash Table|Math|Counting	Equation Transformation + Hash Table|<!-- tabs:start -->	1814_count-nice-pairs-in-an-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1814.Count%20Nice%20Pairs%20in%20an%20Array/README_EN.md
distinct-points-reachable-after-substring-removal	3694	Distinct Points Reachable After Substring Removal	direct	Hash Table|String|Prefix Sum|Sliding Window	Prefix Sum + Hash Table	3694_distinct-points-reachable-after-substring-removal.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3694.Distinct%20Points%20Reachable%20After%20Substring%20Removal/README_EN.md
split-a-string-into-the-max-number-of-unique-substrings	1593	Split a String Into the Max Number of Unique Substrings	direct	Hash Table|String|Backtracking	Backtracking + Pruning	1593_split-a-string-into-the-max-number-of-unique-substrings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1593.Split%20a%20String%20Into%20the%20Max%20Number%20of%20Unique%20Substrings/README_EN.md
minimum-moves-to-balance-circular-array	3776	Minimum Moves to Balance Circular Array	direct	Greedy|Array|Sorting	Simulation	3776_minimum-moves-to-balance-circular-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3776.Minimum%20Moves%20to%20Balance%20Circular%20Array/README_EN.md
letter-tile-possibilities	1079	Letter Tile Possibilities	direct	Hash Table|String|Backtracking|Counting	<!-- tabs:start -->	1079_letter-tile-possibilities.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1079.Letter%20Tile%20Possibilities/README_EN.md
binary-tree-coloring-game	1145	Binary Tree Coloring Game	direct	Tree|Depth-First Search|Binary Tree	DFS	1145_binary-tree-coloring-game.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1145.Binary%20Tree%20Coloring%20Game/README_EN.md
find-the-maximum-number-of-elements-in-subset	3020	Find the Maximum Number of Elements in Subset	direct	Array|Hash Table|Enumeration	Hash Table + Enumeration	3020_find-the-maximum-number-of-elements-in-subset.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3020.Find%20the%20Maximum%20Number%20of%20Elements%20in%20Subset/README_EN.md
maximum-area-rectangle-with-point-constraints-i	3380	Maximum Area Rectangle With Point Constraints I	direct	Binary Indexed Tree|Segment Tree|Geometry|Array|Math|Enumeration|Sorting	Enumeration	3380_maximum-area-rectangle-with-point-constraints-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3380.Maximum%20Area%20Rectangle%20With%20Point%20Constraints%20I/README_EN.md
largest-1-bordered-square	1139	Largest 1-Bordered Square	direct	Array|Dynamic Programming|Matrix	Prefix Sum + Enumeration	1139_largest-1-bordered-square.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1139.Largest%201-Bordered%20Square/README_EN.md
minimum-cost-homecoming-of-a-robot-in-a-grid	2087	Minimum Cost Homecoming of a Robot in a Grid	direct	Greedy|Array	Greedy	2087_minimum-cost-homecoming-of-a-robot-in-a-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2087.Minimum%20Cost%20Homecoming%20of%20a%20Robot%20in%20a%20Grid/README_EN.md
count-substrings-that-differ-by-one-character	1638	Count Substrings That Differ by One Character	direct	Hash Table|String|Dynamic Programming|Enumeration	<!-- tabs:start -->|<!-- tabs:start -->	1638_count-substrings-that-differ-by-one-character.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1638.Count%20Substrings%20That%20Differ%20by%20One%20Character/README_EN.md
count-mentions-per-user	3433	Count Mentions Per User	direct	Array|Math|Sorting|Simulation	Sorting + Simulation	3433_count-mentions-per-user.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3433.Count%20Mentions%20Per%20User/README_EN.md
minimum-removals-to-achieve-target-xor	3877	Minimum Removals to Achieve Target XOR	direct	Bit Manipulation|Array|Dynamic Programming	Dynamic Programming	3877_minimum-removals-to-achieve-target-xor.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3877.Minimum%20Removals%20to%20Achieve%20Target%20XOR/README_EN.md
video-stitching	1024	Video Stitching	direct	Greedy|Array|Dynamic Programming	Greedy	1024_video-stitching.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1024.Video%20Stitching/README_EN.md
check-if-there-is-a-valid-path-in-a-grid	1391	Check if There is a Valid Path in a Grid	direct	Depth-First Search|Breadth-First Search|Union Find|Array|Matrix	<!-- tabs:start -->	1391_check-if-there-is-a-valid-path-in-a-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1391.Check%20if%20There%20is%20a%20Valid%20Path%20in%20a%20Grid/README_EN.md
number-of-good-leaf-nodes-pairs	1530	Number of Good Leaf Nodes Pairs	direct	Tree|Depth-First Search|Binary Tree	Recursion	1530_number-of-good-leaf-nodes-pairs.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1530.Number%20of%20Good%20Leaf%20Nodes%20Pairs/README_EN.md
design-memory-allocator	2502	Design Memory Allocator	direct	Design|Array|Hash Table|Simulation	Simulation|Hash Table + Ordered Set	2502_design-memory-allocator.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2502.Design%20Memory%20Allocator/README_EN.md
splitting-a-string-into-descending-consecutive-values	1849	Splitting a String Into Descending Consecutive Values	direct	String|Backtracking|Enumeration	DFS	1849_splitting-a-string-into-descending-consecutive-values.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1849.Splitting%20a%20String%20Into%20Descending%20Consecutive%20Values/README_EN.md
k-concatenation-maximum-sum	1191	K-Concatenation Maximum Sum	direct	Array|Dynamic Programming	Prefix Sum + Case Discussion	1191_k-concatenation-maximum-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1191.K-Concatenation%20Maximum%20Sum/README_EN.md
maximum-number-of-occurrences-of-a-substring	1297	Maximum Number of Occurrences of a Substring	direct	Hash Table|String|Sliding Window	Hash Table + Enumeration|Sliding Window + String Hashing	1297_maximum-number-of-occurrences-of-a-substring.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1297.Maximum%20Number%20of%20Occurrences%20of%20a%20Substring/README_EN.md
minimum-swaps-to-group-all-1s-together-ii	2134	Minimum Swaps to Group All 1's Together II	direct	Array|Sliding Window	Sliding Window|Prefix Sum	2134_minimum-swaps-to-group-all-1s-together-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2134.Minimum%20Swaps%20to%20Group%20All%201%27s%20Together%20II/README_EN.md
removing-minimum-number-of-magic-beans	2171	Removing Minimum Number of Magic Beans	direct	Greedy|Array|Enumeration|Prefix Sum|Sorting	Sorting + Enumeration	2171_removing-minimum-number-of-magic-beans.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2171.Removing%20Minimum%20Number%20of%20Magic%20Beans/README_EN.md
maximum-nesting-depth-of-two-valid-parentheses-strings	1111	Maximum Nesting Depth of Two Valid Parentheses Strings	direct	Stack|String	Greedy	1111_maximum-nesting-depth-of-two-valid-parentheses-strings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1111.Maximum%20Nesting%20Depth%20of%20Two%20Valid%20Parentheses%20Strings/README_EN.md
longest-nice-subarray	2401	Longest Nice Subarray	direct	Bit Manipulation|Array|Sliding Window	Two Pointers	2401_longest-nice-subarray.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2401.Longest%20Nice%20Subarray/README_EN.md
