Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
previous-permutation-with-one-swap	1053	Previous Permutation With One Swap	direct	Greedy|Array	Greedy	1053_previous-permutation-with-one-swap.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1053.Previous%20Permutation%20With%20One%20Swap/README_EN.md
number-of-operations-to-make-network-connected	1319	Number of Operations to Make Network Connected	direct	Depth-First Search|Breadth-First Search|Union Find|Graph	Union-Find	1319_number-of-operations-to-make-network-connected.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1319.Number%20of%20Operations%20to%20Make%20Network%20Connected/README_EN.md
reorder-routes-to-make-all-paths-lead-to-the-city-zero	1466	Reorder Routes to Make All Paths Lead to the City Zero	direct	Depth-First Search|Breadth-First Search|Graph	DFS|BFS	1466_reorder-routes-to-make-all-paths-lead-to-the-city-zero.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1466.Reorder%20Routes%20to%20Make%20All%20Paths%20Lead%20to%20the%20City%20Zero/README_EN.md
minimum-number-of-operations-to-sort-a-binary-tree-by-level	2471	Minimum Number of Operations to Sort a Binary Tree by Level	direct	Tree|Breadth-First Search|Binary Tree	BFS + Discretization + Element Swap	2471_minimum-number-of-operations-to-sort-a-binary-tree-by-level.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2471.Minimum%20Number%20of%20Operations%20to%20Sort%20a%20Binary%20Tree%20by%20Level/README_EN.md
shortest-uncommon-substring-in-an-array	3076	Shortest Uncommon Substring in an Array	direct	Trie|Array|Hash Table|String	Enumeration	3076_shortest-uncommon-substring-in-an-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3076.Shortest%20Uncommon%20Substring%20in%20an%20Array/README_EN.md
merge-triplets-to-form-target-triplet	1899	Merge Triplets to Form Target Triplet	direct	Greedy|Array	Greedy	1899_merge-triplets-to-form-target-triplet.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1899.Merge%20Triplets%20to%20Form%20Target%20Triplet/README_EN.md
largest-palindromic-number	2384	Largest Palindromic Number	direct	Greedy|Hash Table|String|Counting	<!-- tabs:start -->	2384_largest-palindromic-number.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2384.Largest%20Palindromic%20Number/README_EN.md
cinema-seat-allocation	1386	Cinema Seat Allocation	direct	Greedy|Bit Manipulation|Array|Hash Table	Hash Table + Bit Manipulation	1386_cinema-seat-allocation.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1386.Cinema%20Seat%20Allocation/README_EN.md
minimum-numbers-of-function-calls-to-make-target-array	1558	Minimum Numbers of Function Calls to Make Target Array	direct	Greedy|Bit Manipulation|Array	<!-- tabs:start -->	1558_minimum-numbers-of-function-calls-to-make-target-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1558.Minimum%20Numbers%20of%20Function%20Calls%20to%20Make%20Target%20Array/README_EN.md
reward-top-k-students	2512	Reward Top K Students	direct	Array|Hash Table|String|Sorting|Heap (Priority Queue)	Hash Table + Sorting	2512_reward-top-k-students.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2512.Reward%20Top%20K%20Students/README_EN.md
nearest-exit-from-entrance-in-maze	1926	Nearest Exit from Entrance in Maze	direct	Breadth-First Search|Array|Matrix	BFS	1926_nearest-exit-from-entrance-in-maze.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1926.Nearest%20Exit%20from%20Entrance%20in%20Maze/README_EN.md
maximum-beauty-of-an-array-after-applying-operation	2779	Maximum Beauty of an Array After Applying Operation	direct	Array|Binary Search|Sorting|Sliding Window	Difference Array	2779_maximum-beauty-of-an-array-after-applying-operation.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2779.Maximum%20Beauty%20of%20an%20Array%20After%20Applying%20Operation/README_EN.md
push-dominoes	838	Push Dominoes	direct	Two Pointers|String|Dynamic Programming	Multi-Source BFS	0838_push-dominoes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0838.Push%20Dominoes/README_EN.md
satisfiability-of-equality-equations	990	Satisfiability of Equality Equations	direct	Union Find|Graph|Array|String	<!-- tabs:start -->	0990_satisfiability-of-equality-equations.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0990.Satisfiability%20of%20Equality%20Equations/README_EN.md
minimum-cost-path-with-alternating-directions-ii	3603	Minimum Cost Path with Alternating Directions II	direct	Array|Dynamic Programming|Matrix	<!-- tabs:start -->	3603_minimum-cost-path-with-alternating-directions-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3603.Minimum%20Cost%20Path%20with%20Alternating%20Directions%20II/README_EN.md
minimum-discards-to-balance-inventory	3679	 Minimum Discards to Balance Inventory	api	Array|Hash Table|Counting|Sliding Window|Simulation	Simulation + Sliding Window	3679_minimum-discards-to-balance-inventory.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3679.Minimum%20Discards%20to%20Balance%20Inventory/README_EN.md
minimum-time-to-complete-trips	2187	Minimum Time to Complete Trips	direct	Array|Binary Search	Binary Search	2187_minimum-time-to-complete-trips.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2187.Minimum%20Time%20to%20Complete%20Trips/README_EN.md
minimum-deletions-to-make-array-divisible	2344	Minimum Deletions to Make Array Divisible	direct	Array|Math|Number Theory|Sorting|Heap (Priority Queue)	<!-- tabs:start -->|<!-- tabs:start -->|<!-- tabs:start -->	2344_minimum-deletions-to-make-array-divisible.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2344.Minimum%20Deletions%20to%20Make%20Array%20Divisible/README_EN.md
largest-combination-with-bitwise-and-greater-than-zero	2275	Largest Combination With Bitwise AND Greater Than Zero	direct	Bit Manipulation|Array|Hash Table|Counting	Bit Manipulation	2275_largest-combination-with-bitwise-and-greater-than-zero.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2275.Largest%20Combination%20With%20Bitwise%20AND%20Greater%20Than%20Zero/README_EN.md
construct-smallest-number-from-di-string	2375	Construct Smallest Number From DI String	direct	Stack|Greedy|String|Backtracking	<!-- tabs:start -->	2375_construct-smallest-number-from-di-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2375.Construct%20Smallest%20Number%20From%20DI%20String/README_EN.md
minimize-maximum-component-cost	3613	Minimize Maximum Component Cost	direct	Union Find|Graph|Binary Search|Sorting	Sorting + Union-Find	3613_minimize-maximum-component-cost.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3613.Minimize%20Maximum%20Component%20Cost/README_EN.md
maximize-the-confusion-of-an-exam	2024	Maximize the Confusion of an Exam	direct	String|Binary Search|Prefix Sum|Sliding Window	Sliding Window	2024_maximize-the-confusion-of-an-exam.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2024.Maximize%20the%20Confusion%20of%20an%20Exam/README_EN.md
create-binary-tree-from-descriptions	2196	Create Binary Tree From Descriptions	direct	Tree|Array|Hash Table|Binary Tree	Hash Table	2196_create-binary-tree-from-descriptions.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2196.Create%20Binary%20Tree%20From%20Descriptions/README_EN.md
identify-the-largest-outlier-in-an-array	3371	Identify the Largest Outlier in an Array	direct	Array|Hash Table|Counting|Enumeration	Hash Table + Enumeration	3371_identify-the-largest-outlier-in-an-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3371.Identify%20the%20Largest%20Outlier%20in%20an%20Array/README_EN.md
sum-of-digit-differences-of-all-pairs	3153	Sum of Digit Differences of All Pairs	direct	Array|Hash Table|Math|Counting	Counting	3153_sum-of-digit-differences-of-all-pairs.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3100-3199/3153.Sum%20of%20Digit%20Differences%20of%20All%20Pairs/README_EN.md
number-of-substrings-containing-all-three-characters	1358	Number of Substrings Containing All Three Characters	direct	Hash Table|String|Sliding Window	Single Pass	1358_number-of-substrings-containing-all-three-characters.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1358.Number%20of%20Substrings%20Containing%20All%20Three%20Characters/README_EN.md
maximum-candies-allocated-to-k-children	2226	Maximum Candies Allocated to K Children	direct	Array|Binary Search	Binary Search	2226_maximum-candies-allocated-to-k-children.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2226.Maximum%20Candies%20Allocated%20to%20K%20Children/README_EN.md
maximum-matrix-sum	1975	Maximum Matrix Sum	direct	Greedy|Array|Matrix	Greedy	1975_maximum-matrix-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1975.Maximum%20Matrix%20Sum/README_EN.md
remove-letter-to-equalize-frequency	2423	Remove Letter To Equalize Frequency	direct	Hash Table|String|Counting	Counting + Enumeration	2423_remove-letter-to-equalize-frequency.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2423.Remove%20Letter%20To%20Equalize%20Frequency/README_EN.md
design-exam-scores-tracker	3709	Design Exam Scores Tracker	direct	Design|Array|Binary Search|Prefix Sum	Prefix Sum + Binary Search	3709_design-exam-scores-tracker.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3709.Design%20Exam%20Scores%20Tracker/README_EN.md
advantage-shuffle	870	Advantage Shuffle	direct	Greedy|Array|Two Pointers|Sorting	<!-- tabs:start -->	0870_advantage-shuffle.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0870.Advantage%20Shuffle/README_EN.md
split-array-with-minimum-difference	3698	Split Array With Minimum Difference	direct	Array|Prefix Sum	Prefix Sum + Two Arrays to Record Monotonicity	3698_split-array-with-minimum-difference.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3698.Split%20Array%20With%20Minimum%20Difference/README_EN.md
