Slug	ID	Title	QPos	AR	Subgroups
maximum-points-you-can-obtain-from-cards	1423	Maximum Points You Can Obtain from Cards	Q2	57.7%	Sliding Window/Dynamic Size Sliding-Window; Prefix Sum/Implementary
search-suggestions-system	1268	Search Suggestions System	Q3	65.2%	Heap (Priority Queue)/Implementary Questions; Tries/Trie involving String; Binary Search/Upper Bound and Lower Bound; Sorting/Implementary
minimum-falling-path-sum	931	Minimum Falling Path Sum	Q3	60.8%	Dynamic Programming Level 1/DP On Grid; Dynamic Programming Level 1/Linear DP; Matrix/Implementary
count-paths-with-the-given-xor-value	3393	Count Paths With the Given XOR Value	Q2	40.7%	Dynamic Programming Level 1/DP On Grid; Dynamic Programming Level 1/Linear DP; Bit Manipulation/Basic Bit Concepts; Matrix/Implementary
k-th-symbol-in-grammar	779	K-th Symbol in Grammar	Q1	48.3%	Bit Manipulation/Basic Bit Concepts
corporate-flight-bookings	1109	Corporate Flight Bookings	Q2	67.3%	Advance algorithm/Segment Tree / BIT; Prefix Sum/Implementary
maximize-greatness-of-an-array	2592	Maximize Greatness of an Array	Q2	61.7%	Greedy/Part I; 2 Pointers/Two Pointer on Arrays; Sorting/Implementary
minimum-absolute-difference-in-sliding-submatrix	3567	Minimum Absolute Difference in Sliding Submatrix	Q2	78.8%	Matrix/Implementary; Sorting/Implementary
shortest-distance-after-road-addition-queries-i	3243	Shortest Distance After Road Addition Queries I	Q2	61.9%	Graphs/Graph Representation
max-chunks-to-make-sorted	769	Max Chunks To Make Sorted	Q3	64.2%	Stack/Monotonic Stack; Stack/Implementary Stack; Greedy/Part I; Sorting/Implementary
count-the-number-of-good-nodes	3249	Count the Number of Good Nodes	Q2	55.4%	(unclassified)
hand-of-straights	846	Hand of Straights	Q3	58.0%	Greedy/Part I; Hashing/Implementary Problems; Sorting/Implementary
properties-graph	3493	Properties Graph	Q2	48.8%	Graphs/Disjoint Set Union; Graphs/Graph Representation; Hashing/Implementary Problems
similar-rgb-color	800	Similar RGB Color	Q1	68.0%	(unclassified)
count-of-substrings-containing-every-vowel-and-k-consonants-i	3305	Count of Substrings Containing Every Vowel and K Consonants I	Q2	41.9%	Hashing/Implementary Problems; Sliding Window/Dynamic Size Sliding-Window
count-the-number-of-incremovable-subarrays-i	2970	Count the Number of Incremovable Subarrays I	Q1	56.6%	Binary Search/Upper Bound and Lower Bound; 2 Pointers/Two Pointer on Arrays
people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list	1452	People Whose List of Favorite Companies Is Not a Subset of Another List	Q3	60.7%	Hashing/Implementary Problems
score-of-parentheses	856	Score of Parentheses	Q2	63.6%	Stack/Stack with String; Stack/Implementary Stack
count-days-spent-together	2409	Count Days Spent Together	Q1	48.0%	(unclassified)
encode-number	1256	Encode Number	Q1	70.3%	Bit Manipulation/Basic Bit Concepts
time-needed-to-inform-all-employees	1376	Time Needed to Inform All Employees	Q3	60.5%	(unclassified)
climbing-stairs-ii	3693	Climbing Stairs II	Q2	64.1%	Dynamic Programming Level 1/Linear DP
number-of-subarrays-with-lcm-equal-to-k	2470	Number of Subarrays With LCM Equal to K	Q2	45.5%	(unclassified)
sum-of-numbers-with-units-digit-k	2310	Sum of Numbers With Units Digit K	Q2	28.3%	Dynamic Programming Level 1/Linear DP; Greedy/Part I
decrease-elements-to-make-array-zigzag	1144	Decrease Elements To Make Array Zigzag	Q1	49.2%	Greedy/Part I
before-and-after-puzzle	1181	Before and After Puzzle	Q2	51.9%	Hashing/Implementary Problems; Sorting/Implementary
the-earliest-moment-when-everyone-become-friends	1101	The Earliest Moment When Everyone Become Friends	Q3	66.1%	Graphs/Disjoint Set Union; Sorting/Implementary
array-transformation	1243	Array Transformation	Q2	53.7%	(unclassified)
find-original-array-from-doubled-array	2007	Find Original Array From Doubled Array	Q2	40.8%	Greedy/Part I; Hashing/Implementary Problems; Sorting/Implementary
longest-palindrome-by-concatenating-two-letter-words	2131	Longest Palindrome by Concatenating Two Letter Words	Q3	53.5%	Greedy/Part I; Hashing/Implementary Problems
best-time-to-buy-and-sell-stock-using-strategy	3652	Best Time to Buy and Sell Stock using Strategy	Q1	59.8%	Sliding Window/Dynamic Size Sliding-Window; Prefix Sum/Implementary
shift-distance-between-two-strings	3361	Shift Distance Between Two Strings	Q2	53.6%	Prefix Sum/Implementary
maximum-sum-of-distinct-subarrays-with-length-k	2461	Maximum Sum of Distinct Subarrays With Length K	Q2	43.0%	Hashing/Implementary Problems; Sliding Window/Dynamic Size Sliding-Window
maximize-number-of-subsequences-in-a-string	2207	Maximize Number of Subsequences in a String	Q2	36.1%	Greedy/Part I; Prefix Sum/Implementary
