Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
stone-game	877	Stone Game	direct	Array|Math|Dynamic Programming|Game Theory	Memoization Search|Dynamic Programming	0877_stone-game.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0877.Stone%20Game/README_EN.md
sentence-similarity-iii	1813	Sentence Similarity III	direct	Array|Two Pointers|String	Two Pointers	1813_sentence-similarity-iii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1813.Sentence%20Similarity%20III/README_EN.md
minimum-operations-to-make-a-special-number	2844	Minimum Operations to Make a Special Number	direct	Greedy|Math|String|Enumeration	Memoization Search	2844_minimum-operations-to-make-a-special-number.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2800-2899/2844.Minimum%20Operations%20to%20Make%20a%20Special%20Number/README_EN.md
form-array-by-concatenating-subarrays-of-another-array	1764	Form Array by Concatenating Subarrays of Another Array	direct	Greedy|Array|Two Pointers|String Matching	<!-- tabs:start -->	1764_form-array-by-concatenating-subarrays-of-another-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1764.Form%20Array%20by%20Concatenating%20Subarrays%20of%20Another%20Array/README_EN.md
matrix-cells-in-distance-order	1030	Matrix Cells in Distance Order	direct	Geometry|Array|Math|Matrix|Sorting	<!-- tabs:start -->	1030_matrix-cells-in-distance-order.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1030.Matrix%20Cells%20in%20Distance%20Order/README_EN.md
maximum-sum-of-three-numbers-divisible-by-three	3780	Maximum Sum of Three Numbers Divisible by Three	direct	Greedy|Array|Sorting|Heap (Priority Queue)	Sorting + Grouping + Enumeration	3780_maximum-sum-of-three-numbers-divisible-by-three.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3780.Maximum%20Sum%20of%20Three%20Numbers%20Divisible%20by%20Three/README_EN.md
increment-submatrices-by-one	2536	Increment Submatrices by One	direct	Array|Matrix|Prefix Sum	2D Difference Array	2536_increment-submatrices-by-one.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2536.Increment%20Submatrices%20by%20One/README_EN.md
maximum-value-of-an-ordered-triplet-ii	2874	Maximum Value of an Ordered Triplet II	direct	Array	Maintaining Prefix Maximum and Maximum Difference	2874_maximum-value-of-an-ordered-triplet-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2800-2899/2874.Maximum%20Value%20of%20an%20Ordered%20Triplet%20II/README_EN.md
count-collisions-on-a-road	2211	Count Collisions on a Road	direct	Stack|String|Simulation	Brain Teaser	2211_count-collisions-on-a-road.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2211.Count%20Collisions%20on%20a%20Road/README_EN.md
alice-and-bob-playing-flower-game	3021	Alice and Bob Playing Flower Game	direct	Math	Mathematics|Mathematics (Optimized)	3021_alice-and-bob-playing-flower-game.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3021.Alice%20and%20Bob%20Playing%20Flower%20Game/README_EN.md
longest-alternating-subarray	2765	Longest Alternating Subarray	direct	Array|Enumeration	Enumeration	2765_longest-alternating-subarray.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2765.Longest%20Alternating%20Subarray/README_EN.md
longest-substring-of-all-vowels-in-order	1839	Longest Substring Of All Vowels in Order	direct	String|Sliding Window	Two Pointers + Simulation	1839_longest-substring-of-all-vowels-in-order.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1839.Longest%20Substring%20Of%20All%20Vowels%20in%20Order/README_EN.md
unit-conversion-i	3528	Unit Conversion I	direct	Depth-First Search|Breadth-First Search|Graph	DFS	3528_unit-conversion-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3528.Unit%20Conversion%20I/README_EN.md
count-number-of-trapezoids-i	3623	Count Number of Trapezoids I	direct	Geometry|Array|Hash Table|Math	Enumeration	3623_count-number-of-trapezoids-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3623.Count%20Number%20of%20Trapezoids%20I/README_EN.md
minimum-cost-to-acquire-required-items	3789	Minimum Cost to Acquire Required Items	direct	Greedy|Math	Case Analysis	3789_minimum-cost-to-acquire-required-items.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3789.Minimum%20Cost%20to%20Acquire%20Required%20Items/README_EN.md
restore-the-array-from-adjacent-pairs	1743	Restore the Array From Adjacent Pairs	direct	Depth-First Search|Array|Hash Table	<!-- tabs:start -->|<!-- tabs:start -->	1743_restore-the-array-from-adjacent-pairs.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1743.Restore%20the%20Array%20From%20Adjacent%20Pairs/README_EN.md
minimum-cost-to-equalize-arrays-using-swaps	3868	Minimum Cost to Equalize Arrays Using Swaps	direct	Greedy|Array|Hash Table|Counting	Hash Table	3868_minimum-cost-to-equalize-arrays-using-swaps.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3868.Minimum%20Cost%20to%20Equalize%20Arrays%20Using%20Swaps/README_EN.md
coloring-a-border	1034	Coloring A Border	direct	Depth-First Search|Breadth-First Search|Array|Matrix	<!-- tabs:start -->	1034_coloring-a-border.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1034.Coloring%20A%20Border/README_EN.md
find-mirror-score-of-a-string	3412	Find Mirror Score of a String	direct	Stack|Hash Table|String|Simulation	Hash Table	3412_find-mirror-score-of-a-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3412.Find%20Mirror%20Score%20of%20a%20String/README_EN.md
apply-discount-to-prices	2288	Apply Discount to Prices	direct	String	Simulation	2288_apply-discount-to-prices.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2288.Apply%20Discount%20to%20Prices/README_EN.md
the-k-th-lexicographical-string-of-all-happy-strings-of-length-n	1415	The k-th Lexicographical String of All Happy Strings of Length n	direct	String|Backtracking	DFS|Mathematics	1415_the-k-th-lexicographical-string-of-all-happy-strings-of-length-n.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1415.The%20k-th%20Lexicographical%20String%20of%20All%20Happy%20Strings%20of%20Length%20n/README_EN.md
time-based-key-value-store	981	Time Based Key-Value Store	direct	Design|Hash Table|String|Binary Search	Hash Table + Ordered Set (or Binary Search)	0981_time-based-key-value-store.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0981.Time%20Based%20Key-Value%20Store/README_EN.md
minimum-time-to-make-rope-colorful	1578	Minimum Deletion Cost to Avoid Repeating Letters	api	Greedy|Array|String|Dynamic Programming	Two Pointers + Greedy	1578_minimum-time-to-make-rope-colorful.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1578.Minimum%20Time%20to%20Make%20Rope%20Colorful/README_EN.md
maximum-points-you-can-obtain-from-cards	1423	Maximum Points You Can Obtain from Cards	direct	Array|Prefix Sum|Sliding Window	Sliding Window	1423_maximum-points-you-can-obtain-from-cards.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1423.Maximum%20Points%20You%20Can%20Obtain%20from%20Cards/README_EN.md
search-suggestions-system	1268	Search Suggestions System	direct	Trie|Array|String|Binary Search|Sorting|Heap (Priority Queue)	Sorting + Trie	1268_search-suggestions-system.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1268.Search%20Suggestions%20System/README_EN.md
minimum-falling-path-sum	931	Minimum Falling Path Sum	direct	Array|Dynamic Programming|Matrix	<!-- tabs:start -->	0931_minimum-falling-path-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0931.Minimum%20Falling%20Path%20Sum/README_EN.md
count-paths-with-the-given-xor-value	3393	Count Paths With the Given XOR Value	direct	Bit Manipulation|Array|Dynamic Programming|Matrix	<!-- tabs:start -->	3393_count-paths-with-the-given-xor-value.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3393.Count%20Paths%20With%20the%20Given%20XOR%20Value/README_EN.md
k-th-symbol-in-grammar	779	K-th Symbol in Grammar	direct	Bit Manipulation|Recursion|Math	Recursion|Bit Manipulation + Brain Teaser	0779_k-th-symbol-in-grammar.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0779.K-th%20Symbol%20in%20Grammar/README_EN.md
next-greater-node-in-linked-list	1019	Next Greater Node In Linked List	direct	Stack|Array|Linked List|Monotonic Stack	Monotonic Stack	1019_next-greater-node-in-linked-list.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1019.Next%20Greater%20Node%20In%20Linked%20List/README_EN.md
corporate-flight-bookings	1109	Corporate Flight Bookings	direct	Array|Prefix Sum	Difference Array|Binary Indexed Tree + Difference Idea	1109_corporate-flight-bookings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1109.Corporate%20Flight%20Bookings/README_EN.md
maximize-greatness-of-an-array	2592	Maximize Greatness of an Array	direct	Greedy|Array|Two Pointers|Sorting	Greedy	2592_maximize-greatness-of-an-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2592.Maximize%20Greatness%20of%20an%20Array/README_EN.md
minimum-absolute-difference-in-sliding-submatrix	3567	Minimum Absolute Difference in Sliding Submatrix	direct	Array|Matrix|Sorting	Enumeration	3567_minimum-absolute-difference-in-sliding-submatrix.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3567.Minimum%20Absolute%20Difference%20in%20Sliding%20Submatrix/README_EN.md
shortest-distance-after-road-addition-queries-i	3243	Shortest Distance After Road Addition Queries I	direct	Breadth-First Search|Graph|Array	BFS	3243_shortest-distance-after-road-addition-queries-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3243.Shortest%20Distance%20After%20Road%20Addition%20Queries%20I/README_EN.md
count-number-of-maximum-bitwise-or-subsets	2044	Count Number of Maximum Bitwise-OR Subsets	direct	Bit Manipulation|Array|Backtracking|Enumeration	DFS|Binary Enumeration	2044_count-number-of-maximum-bitwise-or-subsets.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2044.Count%20Number%20of%20Maximum%20Bitwise-OR%20Subsets/README_EN.md
max-chunks-to-make-sorted	769	Max Chunks To Make Sorted	direct	Stack|Greedy|Array|Sorting|Monotonic Stack	Greedy + One Pass|Monotonic Stack	0769_max-chunks-to-make-sorted.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0769.Max%20Chunks%20To%20Make%20Sorted/README_EN.md
count-the-number-of-good-nodes	3249	Count the Number of Good Nodes	direct	Tree|Depth-First Search	DFS	3249_count-the-number-of-good-nodes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3249.Count%20the%20Number%20of%20Good%20Nodes/README_EN.md
hand-of-straights	846	Hand of Straights	direct	Greedy|Array|Hash Table|Sorting	Hash Table + Sorting|Ordered Set	0846_hand-of-straights.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0846.Hand%20of%20Straights/README_EN.md
properties-graph	3493	Properties Graph	direct	Depth-First Search|Breadth-First Search|Union Find|Graph|Array|Hash Table	Hash Table + DFS	3493_properties-graph.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3493.Properties%20Graph/README_EN.md
similar-rgb-color	800	Similar RGB Color	direct	Math|String|Enumeration	<!-- tabs:start -->	0800_similar-rgb-color.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0800.Similar%20RGB%20Color/README_EN.md
count-of-substrings-containing-every-vowel-and-k-consonants-i	3305	Count of Substrings Containing Every Vowel and K Consonants I	direct	Hash Table|String|Sliding Window	Problem Transformation + Sliding Window	3305_count-of-substrings-containing-every-vowel-and-k-consonants-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3305.Count%20of%20Substrings%20Containing%20Every%20Vowel%20and%20K%20Consonants%20I/README_EN.md
count-the-number-of-incremovable-subarrays-i	2970	Count the Number of Incremovable Subarrays I	direct	Array|Two Pointers|Binary Search|Enumeration	Two Pointers	2970_count-the-number-of-incremovable-subarrays-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2970.Count%20the%20Number%20of%20Incremovable%20Subarrays%20I/README_EN.md
construct-binary-search-tree-from-preorder-traversal	1008	Construct Binary Search Tree from Preorder Traversal	direct	Stack|Tree|Binary Search Tree|Array|Binary Tree|Monotonic Stack	DFS + Binary Search	1008_construct-binary-search-tree-from-preorder-traversal.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1008.Construct%20Binary%20Search%20Tree%20from%20Preorder%20Traversal/README_EN.md
people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list	1452	People Whose List of Favorite Companies Is Not a Subset of Another List	direct	Array|Hash Table|String	Hash Table	1452_people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1452.People%20Whose%20List%20of%20Favorite%20Companies%20Is%20Not%20a%20Subset%20of%20Another%20List/README_EN.md
score-of-parentheses	856	Score of Parentheses	direct	Stack|String	Counting	0856_score-of-parentheses.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0856.Score%20of%20Parentheses/README_EN.md
count-days-spent-together	2409	Count Days Spent Together	direct	Math|String	Simulation	2409_count-days-spent-together.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2409.Count%20Days%20Spent%20Together/README_EN.md
encode-number	1256	Encode Number	direct	Bit Manipulation|Math|String	Bit Manipulation	1256_encode-number.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1256.Encode%20Number/README_EN.md
time-needed-to-inform-all-employees	1376	Time Needed to Inform All Employees	direct	Tree|Depth-First Search|Breadth-First Search	DFS	1376_time-needed-to-inform-all-employees.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1376.Time%20Needed%20to%20Inform%20All%20Employees/README_EN.md
climbing-stairs-ii	3693	Climbing Stairs II	direct		Dynamic Programming	3693_climbing-stairs-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3693.Climbing%20Stairs%20II/README_EN.md
number-of-subarrays-with-lcm-equal-to-k	2470	Number of Subarrays With LCM Equal to K	direct	Array|Math|Number Theory	Enumeration	2470_number-of-subarrays-with-lcm-equal-to-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2470.Number%20of%20Subarrays%20With%20LCM%20Equal%20to%20K/README_EN.md
sum-of-numbers-with-units-digit-k	2310	Sum of Numbers With Units Digit K	direct	Greedy|Math|Dynamic Programming|Enumeration	Math + Enumeration|<!-- tabs:start -->|<!-- tabs:start -->	2310_sum-of-numbers-with-units-digit-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2310.Sum%20of%20Numbers%20With%20Units%20Digit%20K/README_EN.md
decrease-elements-to-make-array-zigzag	1144	Decrease Elements To Make Array Zigzag	direct	Greedy|Array	Enumeration + Greedy	1144_decrease-elements-to-make-array-zigzag.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1144.Decrease%20Elements%20To%20Make%20Array%20Zigzag/README_EN.md
before-and-after-puzzle	1181	Before and After Puzzle	direct	Array|Hash Table|String|Sorting	Hash Table + Sorting	1181_before-and-after-puzzle.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1181.Before%20and%20After%20Puzzle/README_EN.md
the-earliest-moment-when-everyone-become-friends	1101	The Earliest Moment When Everyone Become Friends	direct	Union Find|Array|Sorting	Sorting + Union-Find|<!-- tabs:start -->	1101_the-earliest-moment-when-everyone-become-friends.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1101.The%20Earliest%20Moment%20When%20Everyone%20Become%20Friends/README_EN.md
array-transformation	1243	Array Transformation	direct	Array|Simulation	Simulation	1243_array-transformation.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1243.Array%20Transformation/README_EN.md
find-original-array-from-doubled-array	2007	Find Original Array From Doubled Array	direct	Greedy|Array|Hash Table|Sorting	Sorting	2007_find-original-array-from-doubled-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2007.Find%20Original%20Array%20From%20Doubled%20Array/README_EN.md
longest-palindrome-by-concatenating-two-letter-words	2131	Longest Palindrome by Concatenating Two Letter Words	direct	Greedy|Array|Hash Table|String|Counting	Greedy + Hash Table	2131_longest-palindrome-by-concatenating-two-letter-words.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2131.Longest%20Palindrome%20by%20Concatenating%20Two%20Letter%20Words/README_EN.md
best-time-to-buy-and-sell-stock-using-strategy	3652	Best Time to Buy and Sell Stock using Strategy	direct	Array|Prefix Sum|Sliding Window	Prefix Sum + Enumeration	3652_best-time-to-buy-and-sell-stock-using-strategy.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3652.Best%20Time%20to%20Buy%20and%20Sell%20Stock%20using%20Strategy/README_EN.md
maximum-bitwise-xor-after-rearrangement	3849	Maximum Bitwise XOR After Rearrangement	direct	Greedy|Bit Manipulation|String	Greedy	3849_maximum-bitwise-xor-after-rearrangement.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3849.Maximum%20Bitwise%20XOR%20After%20Rearrangement/README_EN.md
xor-after-range-multiplication-queries-i	3653	XOR After Range Multiplication Queries I	direct	Array|Divide and Conquer|Simulation	Simulation	3653_xor-after-range-multiplication-queries-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3600-3699/3653.XOR%20After%20Range%20Multiplication%20Queries%20I/README_EN.md
shift-distance-between-two-strings	3361	Shift Distance Between Two Strings	direct	Array|String|Prefix Sum	<!-- tabs:start -->	3361_shift-distance-between-two-strings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3361.Shift%20Distance%20Between%20Two%20Strings/README_EN.md
maximum-sum-of-distinct-subarrays-with-length-k	2461	Maximum Sum of Distinct Subarrays With Length K	direct	Array|Hash Table|Sliding Window	Sliding Window + Hash Table	2461_maximum-sum-of-distinct-subarrays-with-length-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2461.Maximum%20Sum%20of%20Distinct%20Subarrays%20With%20Length%20K/README_EN.md
maximize-number-of-subsequences-in-a-string	2207	Maximize Number of Subsequences in a String	direct	Greedy|String|Prefix Sum	Traversal + Counting	2207_maximize-number-of-subsequences-in-a-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2207.Maximize%20Number%20of%20Subsequences%20in%20a%20String/README_EN.md
minimum-operations-to-halve-array-sum	2208	Minimum Operations to Halve Array Sum	direct	Greedy|Array|Heap (Priority Queue)	Greedy + Priority Queue (Max Heap)	2208_minimum-operations-to-halve-array-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2208.Minimum%20Operations%20to%20Halve%20Array%20Sum/README_EN.md
