Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
count-submatrices-with-equal-frequency-of-x-and-y	3212	Count Submatrices With Equal Frequency of X and Y	direct	Array|Matrix|Prefix Sum	2D Prefix Sum	3212_count-submatrices-with-equal-frequency-of-x-and-y.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3212.Count%20Submatrices%20With%20Equal%20Frequency%20of%20X%20and%20Y/README_EN.md
stepping-numbers	1215	Stepping Numbers	direct	Breadth-First Search|Math|Backtracking	BFS	1215_stepping-numbers.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1215.Stepping%20Numbers/README_EN.md
maximum-product-of-splitted-binary-tree	1339	Maximum Product of Splitted Binary Tree	direct	Tree|Depth-First Search|Binary Tree	Two DFS	1339_maximum-product-of-splitted-binary-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1339.Maximum%20Product%20of%20Splitted%20Binary%20Tree/README_EN.md
count-good-numbers	1922	Count Good Numbers	direct	Recursion|Math	Fast Exponentiation	1922_count-good-numbers.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1922.Count%20Good%20Numbers/README_EN.md
minimum-speed-to-arrive-on-time	1870	Minimum Speed to Arrive on Time	direct	Array|Binary Search	Binary Search	1870_minimum-speed-to-arrive-on-time.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1870.Minimum%20Speed%20to%20Arrive%20on%20Time/README_EN.md
subarray-sums-divisible-by-k	974	Subarray Sums Divisible by K	direct	Array|Hash Table|Prefix Sum	Hash Table + Prefix Sum	0974_subarray-sums-divisible-by-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0974.Subarray%20Sums%20Divisible%20by%20K/README_EN.md
vertical-order-traversal-of-a-binary-tree	987	Vertical Order Traversal of a Binary Tree	direct	Tree|Depth-First Search|Breadth-First Search|Hash Table|Binary Tree|Sorting	DFS + Sorting|：BFS + Sorting	0987_vertical-order-traversal-of-a-binary-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0987.Vertical%20Order%20Traversal%20of%20a%20Binary%20Tree/README_EN.md
cousins-in-binary-tree-ii	2641	Cousins in Binary Tree II	direct	Tree|Depth-First Search|Breadth-First Search|Hash Table|Binary Tree	Two DFS Traversals|Breadth-First Search (BFS)	2641_cousins-in-binary-tree-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2600-2699/2641.Cousins%20in%20Binary%20Tree%20II/README_EN.md
maximize-area-of-square-hole-in-grid	2943	Maximize Area of Square Hole in Grid	direct	Array|Sorting	Sorting	2943_maximize-area-of-square-hole-in-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2943.Maximize%20Area%20of%20Square%20Hole%20in%20Grid/README_EN.md
car-fleet	853	Car Fleet	direct	Stack|Array|Sorting|Monotonic Stack	<!-- tabs:start -->	0853_car-fleet.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0853.Car%20Fleet/README_EN.md
spiral-matrix-iii	885	Spiral Matrix III	direct	Array|Matrix|Simulation	<!-- tabs:start -->	0885_spiral-matrix-iii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0885.Spiral%20Matrix%20III/README_EN.md
reducing-dishes	1402	Reducing Dishes	direct	Greedy|Array|Dynamic Programming|Sorting	Greedy + Sorting	1402_reducing-dishes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1402.Reducing%20Dishes/README_EN.md
count-sub-islands	1905	Count Sub Islands	direct	Depth-First Search|Breadth-First Search|Union Find|Array|Matrix	DFS	1905_count-sub-islands.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1905.Count%20Sub%20Islands/README_EN.md
find-all-possible-recipes-from-given-supplies	2115	Find All Possible Recipes from Given Supplies	direct	Graph|Topological Sort|Array|Hash Table|String	<!-- tabs:start -->	2115_find-all-possible-recipes-from-given-supplies.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2115.Find%20All%20Possible%20Recipes%20from%20Given%20Supplies/README_EN.md
maximum-xor-after-operations	2317	Maximum XOR After Operations 	api	Bit Manipulation|Array|Math	Bit Manipulation	2317_maximum-xor-after-operations.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2317.Maximum%20XOR%20After%20Operations/README_EN.md
find-the-punishment-number-of-an-integer	2698	Find the Punishment Number of an Integer	direct	Math|Backtracking	Enumeration + DFS	2698_find-the-punishment-number-of-an-integer.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2600-2699/2698.Find%20the%20Punishment%20Number%20of%20an%20Integer/README_EN.md
maximum-sum-of-two-non-overlapping-subarrays	1031	Maximum Sum of Two Non-Overlapping Subarrays	direct	Array|Dynamic Programming|Sliding Window	<!-- tabs:start -->	1031_maximum-sum-of-two-non-overlapping-subarrays.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1031.Maximum%20Sum%20of%20Two%20Non-Overlapping%20Subarrays/README_EN.md
construct-string-with-repeat-limit	2182	Construct String With Repeat Limit	direct	Greedy|Hash Table|String|Counting|Heap (Priority Queue)	Greedy Algorithm	2182_construct-string-with-repeat-limit.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2182.Construct%20String%20With%20Repeat%20Limit/README_EN.md
minimum-addition-to-make-integer-beautiful	2457	Minimum Addition to Make Integer Beautiful	direct	Greedy|Math	Greedy Algorithm	2457_minimum-addition-to-make-integer-beautiful.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2457.Minimum%20Addition%20to%20Make%20Integer%20Beautiful/README_EN.md
minimum-score-of-a-path-between-two-cities	2492	Minimum Score of a Path Between Two Cities	direct	Depth-First Search|Breadth-First Search|Union Find|Graph	DFS|BFS	2492_minimum-score-of-a-path-between-two-cities.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2492.Minimum%20Score%20of%20a%20Path%20Between%20Two%20Cities/README_EN.md
finding-pairs-with-a-certain-sum	1865	Finding Pairs With a Certain Sum	direct	Design|Array|Hash Table	Hash Table	1865_finding-pairs-with-a-certain-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1865.Finding%20Pairs%20With%20a%20Certain%20Sum/README_EN.md
minimum-lines-to-represent-a-line-chart	2280	Minimum Lines to Represent a Line Chart	direct	Geometry|Array|Math|Number Theory|Sorting	<!-- tabs:start -->	2280_minimum-lines-to-represent-a-line-chart.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2280.Minimum%20Lines%20to%20Represent%20a%20Line%20Chart/README_EN.md
reorganize-string	767	Reorganize String	direct	Greedy|Hash Table|String|Counting|Sorting|Heap (Priority Queue)	<!-- tabs:start -->|<!-- tabs:start -->	0767_reorganize-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0767.Reorganize%20String/README_EN.md
maximum-star-sum-of-a-graph	2497	Maximum Star Sum of a Graph	direct	Greedy|Graph|Array|Sorting|Heap (Priority Queue)	<!-- tabs:start -->	2497_maximum-star-sum-of-a-graph.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2497.Maximum%20Star%20Sum%20of%20a%20Graph/README_EN.md
minimum-time-to-collect-all-apples-in-a-tree	1443	Minimum Time to Collect All Apples in a Tree	direct	Tree|Depth-First Search|Breadth-First Search|Hash Table	<!-- tabs:start -->	1443_minimum-time-to-collect-all-apples-in-a-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1443.Minimum%20Time%20to%20Collect%20All%20Apples%20in%20a%20Tree/README_EN.md
reverse-nodes-in-even-length-groups	2074	Reverse Nodes in Even Length Groups	direct	Linked List	<!-- tabs:start -->	2074_reverse-nodes-in-even-length-groups.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2074.Reverse%20Nodes%20in%20Even%20Length%20Groups/README_EN.md
maximum-product-after-k-increments	2233	Maximum Product After K Increments	direct	Greedy|Array|Heap (Priority Queue)	Greedy + Priority Queue (Min-Heap)	2233_maximum-product-after-k-increments.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2233.Maximum%20Product%20After%20K%20Increments/README_EN.md
reveal-cards-in-increasing-order	950	Reveal Cards In Increasing Order	direct	Queue|Array|Sorting|Simulation	<!-- tabs:start -->	0950_reveal-cards-in-increasing-order.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0950.Reveal%20Cards%20In%20Increasing%20Order/README_EN.md
maximum-number-of-distinct-elements-after-operations	3397	Maximum Number of Distinct Elements After Operations	direct	Greedy|Array|Sorting	Greedy + Sorting	3397_maximum-number-of-distinct-elements-after-operations.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3397.Maximum%20Number%20of%20Distinct%20Elements%20After%20Operations/README_EN.md
minimum-number-of-swaps-to-make-the-string-balanced	1963	Minimum Number of Swaps to Make the String Balanced	direct	Stack|Greedy|Two Pointers|String	Greedy	1963_minimum-number-of-swaps-to-make-the-string-balanced.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1963.Minimum%20Number%20of%20Swaps%20to%20Make%20the%20String%20Balanced/README_EN.md
find-the-length-of-the-longest-common-prefix	3043	Find the Length of the Longest Common Prefix	direct	Trie|Array|Hash Table|String	Hash Table	3043_find-the-length-of-the-longest-common-prefix.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3043.Find%20the%20Length%20of%20the%20Longest%20Common%20Prefix/README_EN.md
minimum-number-of-frogs-croaking	1419	Minimum Number of Frogs Croaking	direct	String|Counting	Counting + Simulation	1419_minimum-number-of-frogs-croaking.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1419.Minimum%20Number%20of%20Frogs%20Croaking/README_EN.md
minimum-operations-to-write-the-letter-y-on-a-grid	3071	Minimum Operations to Write the Letter Y on a Grid	direct	Array|Hash Table|Counting|Matrix	Counting	3071_minimum-operations-to-write-the-letter-y-on-a-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3071.Minimum%20Operations%20to%20Write%20the%20Letter%20Y%20on%20a%20Grid/README_EN.md
knight-dialer	935	Knight Dialer	direct	Dynamic Programming	Recurrence|Matrix Exponentiation to Accelerate Recurrence	0935_knight-dialer.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0935.Knight%20Dialer/README_EN.md
complete-binary-tree-inserter	919	Complete Binary Tree Inserter	direct	Tree|Breadth-First Search|Design|Binary Tree	BFS	0919_complete-binary-tree-inserter.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0919.Complete%20Binary%20Tree%20Inserter/README_EN.md
maximum-multiplication-score	3290	Maximum Multiplication Score	direct	Array|Dynamic Programming	Memoization	3290_maximum-multiplication-score.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3290.Maximum%20Multiplication%20Score/README_EN.md
course-schedule-iv	1462	Course Schedule IV	direct	Depth-First Search|Breadth-First Search|Graph|Topological Sort	Floyd's Algorithm|Topological Sorting	1462_course-schedule-iv.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1462.Course%20Schedule%20IV/README_EN.md
move-pieces-to-obtain-a-string	2337	Move Pieces to Obtain a String	direct	Two Pointers|String	<!-- tabs:start -->|<!-- tabs:start -->	2337_move-pieces-to-obtain-a-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2337.Move%20Pieces%20to%20Obtain%20a%20String/README_EN.md
count-ways-to-build-good-strings	2466	Count Ways To Build Good Strings	direct	Dynamic Programming	Memoization Search|Dynamic programming	2466_count-ways-to-build-good-strings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2466.Count%20Ways%20To%20Build%20Good%20Strings/README_EN.md
consecutive-numbers-sum	829	Consecutive Numbers Sum	direct	Math|Enumeration	Mathematical Derivation	0829_consecutive-numbers-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0829.Consecutive%20Numbers%20Sum/README_EN.md
the-number-of-the-smallest-unoccupied-chair	1942	The Number of the Smallest Unoccupied Chair	direct	Array|Hash Table|Heap (Priority Queue)	Priority Queue (Min-Heap)	1942_the-number-of-the-smallest-unoccupied-chair.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1942.The%20Number%20of%20the%20Smallest%20Unoccupied%20Chair/README_EN.md
find-all-good-indices	2420	Find All Good Indices	direct	Array|Dynamic Programming|Prefix Sum	Recursion	2420_find-all-good-indices.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2420.Find%20All%20Good%20Indices/README_EN.md
minimum-number-of-seconds-to-make-mountain-height-zero	3296	Minimum Number of Seconds to Make Mountain Height Zero	direct	Greedy|Array|Math|Binary Search|Heap (Priority Queue)	Binary Search	3296_minimum-number-of-seconds-to-make-mountain-height-zero.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3296.Minimum%20Number%20of%20Seconds%20to%20Make%20Mountain%20Height%20Zero/README_EN.md
